number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_split3_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state,key
15,-1.1908376386985116,2023-04-25 17:10:41.024458,2023-04-25 17:10:42.258077,0 days 00:00:01.233619,0.0005234000806690285,1,3,7,1.6248047230996024e-06,6.756503634640223e-07,0.28357982635498047,0.019657671451568604,-1.1908376386985116,-1.1598374085442722,-1.4386316880908054,-1.148783419823272,-1.0160980383356963,0.04031878592489211,0.0005064343254464617,0.15383870647857883,COMPLETE,1_0
16,-1.1884561213504763,2023-04-25 17:10:42.259323,2023-04-25 17:10:50.941526,0 days 00:00:08.682203,0.00028884972043832124,37,219,5,0.0007663181686646863,483898.9236030801,2.092780113220215,0.07156914472579956,-1.1884561213504763,-1.1558813571460729,-1.4380968194593844,-1.1466770215279154,-1.0131692872685325,0.1626808478792847,0.007895274346802544,0.1548003236428544,COMPLETE,1_0
17,-1.1890542688166756,2023-04-25 17:10:49.082751,2023-04-25 17:11:09.861539,0 days 00:00:20.778788,3.534583657472309e-05,37,246,15,0.000674211534036509,9.536122308604655e-05,5.050589919090271,0.13907331228256226,-1.1890542688166756,-1.1596226207199618,-1.4380882846865772,-1.145479280346419,-1.0130268895137442,0.07437352038124032,0.022015920393786616,0.15473249566139968,COMPLETE,1_0
18,-1.1901355190227854,2023-04-25 17:10:50.942597,2023-04-25 17:11:02.528243,0 days 00:00:11.585646,2.7053756672658162e-05,19,139,14,65.44032854024563,3.77257979038872e-05,2.812343955039978,0.07843250036239624,-1.1901355190227854,-1.160047604700046,-1.4383004958742422,-1.1475990395754612,-1.0145949359413917,0.11355423923508949,0.003070505151431955,0.15420358841180135,COMPLETE,1_0
19,-1.1900730586457788,2023-04-25 17:10:51.403758,2023-04-25 17:11:05.559889,0 days 00:00:14.156131,2.80378969872301e-05,21,145,18,104.61871521109694,4.049197265452953e-05,3.420214593410492,0.11267834901809692,-1.1900730586457788,-1.1597383625938114,-1.438379395216904,-1.147289541590233,-1.0148849351821672,0.1309374911087589,0.031076803272307597,0.15418944394824985,COMPLETE,1_0
20,-1.1625408211655348,2023-04-25 17:11:02.529415,2023-04-25 17:11:10.249172,0 days 00:00:07.719757,0.0020696054559377806,17,72,19,0.0004135037382128046,1.1128468485954898e-07,1.8722277879714966,0.05275237560272217,-1.1625408211655348,-1.1433043489970987,-1.4351850607772036,-1.0956647178106045,-0.9760091570772326,0.14590290730436842,0.0034719603501525914,0.1687982509998272,COMPLETE,1_0
21,-1.1839818202762404,2023-04-25 17:11:05.562906,2023-04-25 17:11:11.514718,0 days 00:00:05.951812,0.0006875360352339011,41,37,30,0.00012282076471870892,0.0036072334252546896,1.445210576057434,0.03685116767883301,-1.1839818202762404,-1.1558754016246748,-1.4377477536211256,-1.1366142080381436,-1.0056899178210172,0.1053813036641797,0.006748705369516396,0.1574950894996883,COMPLETE,1_0
22,-1.1635734515851923,2023-04-25 17:11:09.865673,2023-04-25 17:11:16.680012,0 days 00:00:06.814339,0.003178659435689245,27,43,30,0.0343960587877498,1.0304123671085e-07,1.6554662585258484,0.04230856895446777,-1.1635734515851923,-1.1463899137153906,-1.4379140911923394,-1.0964256481832304,-0.973564153249809,0.04668205872200242,0.008918580677746805,0.17041891141345983,COMPLETE,1_0
23,-1.1834707983762536,2023-04-25 17:11:10.250270,2023-04-25 17:11:12.638512,0 days 00:00:02.388242,0.0027160747695810414,17,10,30,1.8793739976850886e-05,1.0467159173449937e-06,0.567614734172821,0.024104833602905273,-1.1834707983762536,-1.1553453266721885,-1.4377203174910334,-1.1358179288278105,-1.004999620513982,0.024531580598838164,0.0014065485029290939,0.15776296890622057,COMPLETE,1_0
24,-1.1516425730397934,2023-04-25 17:11:11.516291,2023-04-25 17:11:17.710832,0 days 00:00:06.194541,0.003981685840677063,16,74,11,0.02139766062233128,1.5471711984623579e-07,1.5000554919242859,0.04346752166748047,-1.1516425730397934,-1.156093259780717,-1.4237928724931752,-1.0893795461560118,-0.9373046137292691,0.05547424114799276,0.005005947834072126,0.17599931777080963,COMPLETE,1_0
